Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1725.5909139134103
FDW14,OUT017,1380.8137446598835
NCN55,OUT010,579.4374354669526
FDQ58,OUT017,2470.9283556869805
FDY38,OUT027,5856.031847916255
FDH56,OUT046,1983.8454229691977
FDL48,OUT018,647.3821427835447
FDC48,OUT027,2220.1295517232425
FDN33,OUT045,1536.0557445717197
FDA36,OUT017,3135.0186425354423
FDT44,OUT017,1969.2002580377625
FDQ56,OUT045,1418.2518384860246
NCC54,OUT019,559.0731650611806
FDU11,OUT049,2021.772159127625
DRL59,OUT013,745.5298878165408
FDM24,OUT049,2420.0242642910507
FDI57,OUT045,2899.2100001674844
DRC12,OUT018,2877.463351145191
NCM42,OUT027,2912.7943828235125
FDA46,OUT010,477.20675012332475
FDA31,OUT013,2789.6874728294933
NCJ31,OUT035,4003.997302177849
FDG52,OUT046,772.6938813770611
NCL19,OUT019,331.90344840799037
FDS10,OUT035,3093.750118116509
FDX22,OUT010,539.1742879463475
NCF19,OUT035,757.5853354517861
NCE06,OUT046,2629.586190897904
DRC27,OUT046,3830.0285498009516
FDE21,OUT035,1935.9740686672928
NCR42,OUT019,107.5875177276766
FDX51,OUT018,2848.630378888958
NCR06,OUT018,532.873884445261
FDU31,OUT027,5740.65390934071
FDU59,OUT017,2575.4607259903355
FDR03,OUT027,5434.1857317892
FDS49,OUT027,2255.647954104681
FDD48,OUT010,248.89371464174917
NCF18,OUT017,3134.5150721112527
NCD43,OUT027,2716.3092328998914
NCD54,OUT018,1993.064602653626
FDY19,OUT010,253.13679801519433
NCY54,OUT017,2874.4889636762687
NCL19,OUT018,1995.0207452866227
FDP23,OUT010,543.8748462305999
FDC26,OUT013,1807.2598538189611
FDR14,OUT010,153.53006748229492
NCS41,OUT035,3141.982339843224
FDF41,OUT035,4164.5056216588
FDU34,OUT046,2096.0583416683253
DRH11,OUT046,929.4860727622942
FDM03,OUT013,1720.3806113368053
FDS31,OUT017,3066.213983144405
FDJ20,OUT017,2103.0661788061097
FDV44,OUT027,5195.572627507173
FDG02,OUT049,3243.5292718654277
FDA09,OUT013,3026.3467310021388
FDT04,OUT013,596.8645645514663
FDL58,OUT019,569.4105225286246
FDE52,OUT045,1373.7873510294737
FDW12,OUT035,2457.2856985332833
FDL51,OUT017,3863.4381816170203
NCY42,OUT027,3681.9850339421323
FDR07,OUT017,1584.4166468737014
FDN40,OUT045,2436.3071614229366
FDB35,OUT027,2506.015130060285
FDA22,OUT017,2625.2292627195
NCL06,OUT046,3801.2321499374243
FDI35,OUT013,3118.5908590415056
NCW42,OUT045,3492.379671920361
NCX06,OUT049,3130.3982434684626
FDC37,OUT027,2839.7956126911195
FDZ14,OUT018,1738.618467120482
DRG49,OUT049,4101.59264145908
NCG06,OUT045,3765.705566545131
